Sample in Buffer,Sample in Window,TRIGGER,cos_500kHz[15:0],cos_1MHz[15:0],cos_2MHz[15:0],cos_2_8MHz_wc[15:0],outputCos[17:0],filteredCos[18:0]
2204,2204,0,8197,-14189,8188,27136,20884,-18937
2205,2205,0,11589,-8189,-8196,-14848,30285,-11349
2206,2206,0,14193,3,-16385,-29952,-9403,-2360
2207,2207,0,15827,8197,-8191,8192,-19855,-4416
2208,2208,0,16384,14193,8193,31744,26069,-8828
2209,2209,0,15823,16384,16384,-2048,57272,-1208
2210,2210,0,14183,14183,8188,-32256,26063,13261
2211,2211,0,11578,8182,-8196,-5120,-8935,18119
2212,2212,0,8182,-13,-16385,31232,8500,13620
2213,2213,0,4230,-8205,-8191,11264,35310,14042
2214,2214,0,-13,-14197,8193,-28928,9343,21114
2215,2215,0,-4254,-16385,16384,-17664,-33992,20810
2216,2216,0,-8205,-14189,8188,25088,-26015,9710
2217,2217,0,-11596,-8189,-8196,22528,11835,1992
2218,2218,0,-14197,3,-16385,-20736,4788,4701
2219,2219,0,-15830,8197,-8191,-27136,-39029,5310
2220,2220,0,-16385,14193,8193,14848,-40916,-5111
2221,2221,0,-15826,16384,16384,29952,7607,-14702
2222,2222,0,-14189,14183,8188,-8192,26414,-10963
2223,2223,0,-11584,8182,-8196,-31744,-13243,-2990
2224,2224,0,-8189,-13,-16385,2048,-41286,-5927
2225,2225,0,-4238,-8205,-8191,32256,-10245,-15508
2226,2226,0,3,-14197,8193,5120,21867,-16131
2227,2227,0,4245,-16385,16384,-31232,72,-8648
2228,2228,0,8197,-14189,8188,-11264,-31084,-7549
2229,2229,0,11589,-8189,-8196,28928,-8115,-14377
2230,2230,0,14193,3,-16385,17664,34373,-14609
2231,2231,0,15827,8197,-8191,-25088,27761,-4190
2232,2232,0,16384,14193,8193,-22528,-7211,3274
2233,2233,0,15823,16384,16384,20736,3000,1062
2234,2234,0,14183,14183,8188,27136,48847,1679
2235,2235,0,11578,8182,-8196,-14848,50457,13680
2236,2236,0,8182,-13,-16385,-29952,-1228,24584
2237,2237,0,4230,-8205,-8191,8192,-25874,21204
